# ----------------------------------------------------------------------------
#  1 / 215 Printsessa_Garmonii.fb2
# ----------------------------------------------------------------------------
 1     44.325 | Серокрылый                     | Принцесса Гармонии
16      0.173 | В облаках пушистых лапки       | Город на цепи
17      0.163 | Miku                           | Иная Эквестрия Чёрное и белое
18      0.163 | Dim                            | Сказка о Последнем Походе
19      0.162 | Dim                            | Сказка о новом Понивилле
20       0.16 | Eriol                          | Властелин Колец Содружество это магия
# ----------------------------------------------------------------------------
#  4 / 215 Prizraki_inogo_mira.fb2
# ----------------------------------------------------------------------------
 1     49.516 | Т 90А                          | Призраки иного мира
 2       0.88 | Хеллфайр Файр                  | Fallout Equestria Виват Литтлпип
 3      0.732 | Dozornui                       | FO E Схватка в Разломе
 4      0.614 | Техноягуар                     | Фоллаут Эквестрия Лунные Тени
 5      0.484 | Hamuro                         | История сталкера в Fo E История I
 6      0.466 | ГневныйТаракан                 | Fallout Equestria Под светом солнца
 7      0.454 | viperserj                      | Игра без счета
 8      0.453 | lfrag17                        | DOOM Эквестрия Том 1 Железный коготь
 9       0.38 | Mister Karter                  | Пересечение миров
10      0.369 | В облаках пушистых лапки       | Город на цепи
11       0.36 | Anonymous                      | Кольцо 3 Реинкарнация Анонимуса Рабочее название
12      0.336 | Лесси Форест                   | Хроники Роя
13      0.333 | PyatsotChetverty               | My little Sniper Объект 504
14      0.307 | dkarm                          | Торговый дом Зелёная миля
15      0.307 | defklo                         | Fallout Equestria Frozen Shores
16      0.291 | GORynytch                      | Моя маленькая Твайли искорка изменившая мою жизнь
17      0.284 | Isaac                          | Оттенки красного
18      0.274 | Anonymous                      | Кольцо
19      0.267 | В облаках пушистых лапки       | Fallout Equestria Soldiers Of The Dark Ages
20      0.267 | grevtsev                       | Чужеземец
# ----------------------------------------------------------------------------
#  5 / 215 Gorod_Tysyachi_Mostov.fb2
# ----------------------------------------------------------------------------
 1     60.435 | DarkKnight                     | Город Тысячи Мостов
 2       0.79 | lezvion                        | Fallout Equestria Тени Анклава
 3      0.592 | DarkKnight                     | Солнце в рюкзаке
 4      0.591 | HardwareWitchman               | Североморские истории
 5      0.245 | Legion2709                     | Рождение спасительницы
 6      0.243 | Lotsel                         | Дело 147
 7      0.233 | DarkKnight                     | Радужный Рыцарь
 8      0.184 | DarkKnight                     | Дорога из желтого кирпича
 9      0.168 | BlaadwinDufo                   | Девочка и Королева
10      0.163 | Avrelia                        | Родные земли
11      0.161 | Золотой камень                 | Одна под безмолвным небом
12      0.155 | MaitreSerge                    | Окно в Эквестрию
13      0.143 | Dozornui                       | Траектория падения
14      0.138 | Золотой камень                 | В две нитки
15      0.131 | Дарий                          | Власть одного
16      0.124 | Eriol                          | Властелин Колец Содружество это магия
17      0.121 | Золотой камень                 | Сборник омегаверс драбблов
18      0.121 | sasha4                         | Темная и Белая жизнь
19      0.119 | Archi                          | Hollow Shades
20      0.111 | TROVER                         | Математика разума
# ----------------------------------------------------------------------------
#  6 / 215 Planescape_skazka_o_Bestolochi.fb2
# ----------------------------------------------------------------------------
 1     35.581 | Dim                            | Planescape сказка о Бестолочи
 2      3.192 | Dim                            | Planescape сказка о планарном отпуске
 3      2.588 | Dim                            | Planescape сказка о приключенцах
 4      1.772 | Dim                            | Planescape сказка о леди и рыцаре
 5      1.699 | Dim                            | Planescape сказка о тернистом пути на вершину
 6      0.616 | Dim                            | Сказка о павших божествах
 7      0.502 | Dim                            | Сказка о Последнем Походе
 8      0.417 | Dim                            | Сказка о новом Понивилле
 9      0.349 | lfrag17                        | DOOM Эквестрия Том 1 Железный коготь
10      0.308 | Dim                            | Сказка о пути к Истине
11      0.297 | Dim                            | Сказка о том как умирают города государства
12      0.268 | Дарий                          | Война трех знамен
13      0.267 | Violetmoon                     | Золотое солнышко
14       0.24 | Deus ex Delirium               | Последний древний
15      0.237 | MrKartofelnayaOchistka         | Странник Путешествие второе Между мирами
16      0.232 | VIM                            | Влекомые роком
17       0.22 | В облаках пушистых лапки       | Город на цепи
18      0.219 | Orc01                          | Спроси пустыню
19      0.209 | TopT                           | Понь бледный
20      0.203 | Miku                           | Иная Эквестрия Чёрное и белое
# ----------------------------------------------------------------------------
#  7 / 215 Zatmenie_II_Plamennoe_serdtse.fb2
# ----------------------------------------------------------------------------
 1     54.934 | axsel_1995                     | Затмение II Пламенное сердце
 2      0.606 | Acco                           | Единая Эквестрия
 3      0.484 | Eriol                          | Властелин Колец Содружество это магия
 4      0.326 | Stamerly Wings                 | The Day When I Found My Phobies
 5      0.322 | Legion2709                     | Рождение спасительницы
 6      0.306 | axsel_1995                     | Врата
 7      0.304 | Artes Septim                   | Тень падших
 8      0.296 | sasha4                         | Темная и Белая жизнь Пробуждение силы
 9      0.295 | Legion2709                     | Ласковый дождь
10      0.279 | TopT                           | Понь бледный
11      0.269 | lividus                        | Сегодня они проснулись не в себе
12      0.267 | Bf109                          | Авиация Эквестрии
13       0.26 | GalaxyNews                     | Двойная Радуга
14      0.253 | Miku                           | Иная Эквестрия Чёрное и белое
15      0.252 | Anonymous                      | Кольцо 3 Реинкарнация Анонимуса Рабочее название
16      0.241 | Legion2709                     | Я другая
17      0.224 | Drakon_ST                      | Дракон из паралельного мира 2 0
18      0.215 | Золотой камень                 | Эпоха полночных кошмаров Преемники
19      0.207 | Angelripper                    | Меткостиратели
20      0.202 | Genosse_Mauser                 | Путь к миру
# ----------------------------------------------------------------------------
#  8 / 215 Uchenik_i_Master_Akt_pervyy_Zmeya_na_poroge_doma_.fb2
# ----------------------------------------------------------------------------
 1     59.358 | Нестеров                       | Ученик и Мастер Акт первый Змея на пороге дома
 2      0.261 | TopT                           | Понь бледный
 3      0.204 | DarkKnight                     | Город Тысячи Мостов
 4      0.199 | Дарий                          | Война трех знамен
 5       0.19 | MaitreSerge                    | Окно в Эквестрию
 6      0.189 | VIM                            | Влекомые роком
 7      0.184 | Orc01                          | Спроси пустыню
 8      0.172 | shadowiq                       | Новое начало
 9      0.163 | lividus                        | Сегодня они проснулись не в себе
10      0.163 | ArcaneTesla                    | Fallout Equestria Science and pain
11      0.159 | Acco                           | Единая Эквестрия
12      0.158 | FobosShadow                    | Вознесение
13      0.157 | Disen                          | Время любви
14      0.155 | niklaykin                      | Извилистый путь
15      0.148 | Золотой камень                 | Одна под безмолвным небом
16      0.121 | Moonwhisper                    | Вторая Жизнь том третий примирение с настоящим
17       0.12 | Dim                            | Planescape сказка о леди и рыцаре
18      0.118 | Дрэкэнг_В_В                    | Обман
19      0.115 | Дарий                          | Власть одного
20      0.111 | Лесси Форест                   | Хроники Роя
# ----------------------------------------------------------------------------
#  9 / 215 Fallout_Equestria_Vivat_Littlpip_.fb2
# ----------------------------------------------------------------------------
 1     43.677 | Хеллфайр Файр                  | Fallout Equestria Виват Литтлпип
 2      0.639 | dzhaur                         | Гнет Судеб
 3      0.387 | ГневныйТаракан                 | Fallout Equestria Под светом солнца
 4      0.331 | В облаках пушистых лапки       | Город на цепи
 5      0.327 | Angelripper                    | Меткостиратели
 6      0.325 | Dozornui                       | FO E Схватка в Разломе
 7      0.324 | Лесси Форест                   | Хроники Роя
 8      0.315 | Isaac                          | Оттенки красного
 9      0.304 | Hamuro                         | История сталкера в Fo E История I
10      0.259 | lezvion                        | Fallout Equestria Тени Анклава
11      0.254 | PyatsotChetverty               | My little Sniper Объект 504
12      0.205 | Devilly                        | Fallout Equestria Снег и Ветер
13      0.191 | ArcaneTesla                    | Fallout Equestria Science and pain
14       0.18 | Orc01                          | Спроси пустыню
15      0.178 | Captain                        | Fallout Большие Изменения
16      0.144 | Mihaello                       | FoE Ответ
17      0.142 | dkarm                          | Торговый дом Зелёная миля
18      0.139 | snow-of-changes.txt            | snow-of-changes.txt
19      0.136 | Anonymous                      | Fallout Long Road to Home
20      0.114 | Acco                           | Единая Эквестрия
# ----------------------------------------------------------------------------
#  10 / 215 Khroniki_Roya.fb2
# ----------------------------------------------------------------------------
 1     47.093 | Лесси Форест                   | Хроники Роя
 2      0.469 | Дарий                          | Война трех знамен
 3       0.33 | Dozornui                       | FO E Схватка в Разломе
 4      0.319 | niklaykin                      | Извилистый путь
 5      0.315 | Mister Karter                  | Пересечение миров
 6      0.308 | Mihaello                       | FoE Ответ
 7      0.292 | Техноягуар                     | Фоллаут Эквестрия Лунные Тени
 8      0.275 | StunningBubble                 | Кабанеро
 9      0.274 | Eriol                          | Властелин Колец Содружество это магия
10      0.258 | В облаках пушистых лапки       | Город на цепи
11      0.257 | TopT                           | Понь бледный
12      0.256 | В облаках пушистых лапки       | Fallout Equestria Soldiers Of The Dark Ages
13      0.249 | Dozornui                       | Траектория падения
14       0.24 | defklo                         | Fallout Equestria Frozen Shores
15      0.227 | Хеллфайр Файр                  | Fallout Equestria Виват Литтлпип
16      0.224 | Лоренциано                     | Необычное Задание или BlackWood не трогай пони
17      0.223 | deep                           | Полярная повесть
18      0.216 | nightdragone                   | Чужая земля
19      0.212 | KleVeR                         | Киберпони
20       0.21 | sasha4                         | Темная и Белая жизнь Пробуждение силы
# ----------------------------------------------------------------------------
#  11 / 215 Posledniy_drevniy.fb2
# ----------------------------------------------------------------------------
 1     43.966 | Deus ex Delirium               | Последний древний
 2      0.562 | Hamuro                         | История сталкера в Fo E История I
 3      0.561 | Anonymous                      | Кольцо 3 Реинкарнация Анонимуса Рабочее название
 4      0.463 | lividus                        | Сегодня они проснулись не в себе
 5      0.398 | PyatsotChetverty               | My little Sniper Объект 504
 6      0.386 | Pixel_Buster                   | Элементы дружбы
 7      0.357 | Miku                           | Иная Эквестрия Чёрное и белое
 8      0.343 | RusStarik                      | Добро пожаловать и до свидания
 9      0.333 | FudzySparkle                   | Посланник в Эквестрии
10      0.324 | В облаках пушистых лапки       | Город на цепи
11      0.322 | Хеллфайр Файр                  | Fallout Equestria Виват Литтлпип
12      0.291 | Padredes                       | Дружба Что это
13      0.278 | Reальный пониSkuльптор         | Брони скульптор реальности
14      0.277 | Anonymous                      | Кольцо
15      0.268 | Nielas                         | Принцепс
16      0.265 | Anonymous                      | Кольцо 2 Возвращение серого властелина
17      0.264 | Acco                           | Единая Эквестрия
18       0.26 | Серокрылый                     | Принцесса Гармонии
19      0.253 | GorMITYA                       | Курьер Меж Миров
20      0.249 | Дарий                          | Война трех знамен
# ----------------------------------------------------------------------------
#  12 / 215 Vtoraya_Zhizn_tom_tretiy_primirenie_s_nastoyashchim.fb2
# ----------------------------------------------------------------------------
 1      44.95 | Moonwhisper                    | Вторая Жизнь том третий примирение с настоящим
 2      0.934 | Moonwhisper                    | Вторая жизнь том второй борьба с прошлым
 3        0.6 | Moonwhisper                    | Вторая жизнь том первый пролог
 4        0.3 | nightdragone                   | Чужая земля
 5      0.297 | Золотой камень                 | Одна под безмолвным небом
 6      0.292 | BlaadwinDufo                   | Девочка и Королева
 7      0.281 | T 80U                          | Эквестрия 84
 8      0.268 | Хризолит                       | Тень и ночь
 9      0.227 | В облаках пушистых лапки       | Город на цепи
10      0.225 | Violetmoon                     | Золотое солнышко
11       0.22 | Dim                            | Сказка о том как умирают города государства
12      0.212 | Бабаян                         | Некромантия
13      0.209 | shadow478                      | Лицо под маской
14      0.204 | niklaykin                      | Извилистый путь
15      0.203 | shadowiq                       | Новое начало
16      0.202 | grevtsev                       | Чужеземец
17      0.201 | Miku                           | Иная Эквестрия Чёрное и белое
18      0.197 | Хеллфайр Файр                  | Fallout Equestria Виват Литтлпип
19      0.196 | Лоренциано                     | Необычное Задание или BlackWood не трогай пони
20      0.194 | lividus                        | Сегодня они проснулись не в себе
# ----------------------------------------------------------------------------
#  13 / 215 Doroga_iz_zheltogo_kirpicha.fb2
# ----------------------------------------------------------------------------
 1     38.127 | DarkKnight                     | Дорога из желтого кирпича
 2      3.156 | DarkKnight                     | Солнце в рюкзаке
 3      1.747 | DarkKnight                     | Сломанная Игрушка
 4      1.495 | DarkKnight                     | Город Тысячи Мостов
 5      0.713 | Bf109                          | Авиация Эквестрии
 6      0.695 | DarkKnight                     | Радужный Рыцарь
 7      0.589 | Eriol                          | Властелин Колец Содружество это магия
 8      0.576 | BlaadwinDufo                   | Девочка и Королева
 9      0.408 | В облаках пушистых лапки       | Город на цепи
10      0.388 | Бабаян                         | Некромантия
11      0.354 | Чайн                           | Fallout Equestria Один на миллион Вот идёт грифон
12      0.343 | Orc01                          | Спроси пустыню
13      0.336 | Romuald                        | Сказки небесного домика
14      0.302 | Золотой камень                 | Одна под безмолвным небом
15        0.3 | Powerful Darkness              | Кровь Пар Сталь
16      0.283 | Legion2709                     | Песнь Жизни
17      0.274 | Enotec                         | My Little Pony Oblivion
18      0.272 | nightdragone                   | Небольшая зарисовка из жизни Эквестрии
19      0.269 | devkv                          | Теория хаоса
20      0.264 | HerbSmoker                     | Радужный анабасис
# ----------------------------------------------------------------------------
#  14 / 215 Obratnaya_storona_medali.fb2
# ----------------------------------------------------------------------------
 1     39.738 | Krelkin                        | Обратная сторона медали
 2      4.388 | Krelkin                        | Кандран
 3      3.798 | Krelkin                        | Технологические артефакты
 4      1.941 | Krelkin                        | Идолы и Боги
 5      0.594 | Krelkin                        | Роман Колебания маятника
 6      0.462 | LIZARMEN                       | АМК агентство магических катастроф
 7      0.371 | Dim                            | Сказка о том как умирают города государства
 8      0.312 | Valdemar                       | Закон Эквестрии Союз Пяти Фигур
 9      0.312 | Archi                          | Hollow Shades
10      0.305 | Нестеров                       | Ученик и Мастер Акт первый Змея на пороге дома
11      0.299 | shadowiq                       | Новое начало
12       0.28 | Техноягуар                     | Фоллаут Эквестрия Лунные Тени
13      0.268 | В облаках пушистых лапки       | Город на цепи
14      0.263 | r4zorl1cht                     | Безотцовщина
15      0.263 | Дарий                          | Война трех знамен
16      0.254 | devkv                          | Теория хаоса
17      0.253 | niklaykin                      | Извилистый путь
18      0.252 | TopT                           | Понь бледный
19      0.244 | Дрэкэнг_В_В                    | Обман
20      0.243 | MaitreSerge                    | Окно в Эквестрию
# ----------------------------------------------------------------------------
#  15 / 215 Fallout_Long_Road_to_Home.fb2
# ----------------------------------------------------------------------------
 1     42.542 | Anonymous                      | Fallout Long Road to Home
 2      0.654 | Dozornui                       | FO E Схватка в Разломе
 3      0.497 | Anonymous                      | Кольцо 3 Реинкарнация Анонимуса Рабочее название
 4       0.39 | Deus ex Delirium               | Последний древний
 5      0.369 | Техноягуар                     | Фоллаут Эквестрия Лунные Тени
 6      0.368 | Хеллфайр Файр                  | Fallout Equestria Виват Литтлпип
 7      0.322 | PyatsotChetverty               | My little Sniper Объект 504
 8      0.312 | В облаках пушистых лапки       | Город на цепи
 9      0.306 | Anonymous                      | Кольцо
10      0.303 | dzhaur                         | Гнет Судеб
11      0.301 | Т 90А                          | Призраки иного мира
12      0.295 | Captain                        | Fallout Большие Изменения
13       0.29 | Angelripper                    | Меткостиратели
14      0.287 | Anonymous                      | Кольцо 2 Возвращение серого властелина
15      0.278 | Pixel_Buster                   | Элементы дружбы
16      0.272 | lividus                        | Сегодня они проснулись не в себе
17      0.269 | dkarm                          | Торговый дом Зелёная миля
18      0.268 | Isaac                          | Оттенки красного
19      0.263 | Чайн                           | Fallout Equestria Один на миллион Вот идёт грифон
20      0.252 | Dim                            | Сказка о том как умирают города государства
# ----------------------------------------------------------------------------
#  16 / 215 FoE_Otvet.fb2
# ----------------------------------------------------------------------------
 1     36.695 | Mihaello                       | FoE Ответ
 2      0.413 | Eriol                          | Властелин Колец Содружество это магия
 3      0.379 | В облаках пушистых лапки       | Город на цепи
 4      0.336 | Техноягуар                     | Фоллаут Эквестрия Лунные Тени
 5       0.33 | Хризолит                       | Эпоха полночных кошмаров
 6      0.329 | Artes Septim                   | Брешь миров
 7      0.289 | Reальный пониSkuльптор         | Брони скульптор реальности
 8      0.282 | Dozornui                       | FO E Схватка в Разломе
 9      0.277 | FudzySparkle                   | Посланник в Эквестрии
10      0.272 | Лоренциано                     | Необычное Задание или BlackWood не трогай пони
11      0.271 | Хеллфайр Файр                  | Fallout Equestria Виват Литтлпип
12      0.265 | defklo                         | Fallout Equestria Frozen Shores
13      0.256 | pEqAkToP                       | Fallout Equestria Time Turner
14      0.255 | Dor 3                          | Флаттершай в мэры
15      0.249 | TopT                           | Понь бледный
16      0.247 | Pixel_Buster                   | Элементы дружбы
17      0.238 | Лесси Форест                   | Хроники Роя
18      0.237 | Золотой камень                 | Одна под безмолвным небом
19      0.235 | В облаках пушистых лапки       | Fallout Equestria Soldiers Of The Dark Ages
20      0.225 | viperserj                      | Игра без счета
# ----------------------------------------------------------------------------
#  17 / 215 Solntse_v_rykzake.fb2
# ----------------------------------------------------------------------------
 1      47.48 | DarkKnight                     | Солнце в рюкзаке
 2      2.171 | DarkKnight                     | Дорога из желтого кирпича
 3      1.551 | DarkKnight                     | Сломанная Игрушка
 4      0.707 | Eriol                          | Властелин Колец Содружество это магия
 5      0.696 | DarkKnight                     | Город Тысячи Мостов
 6      0.364 | Bf109                          | Авиация Эквестрии
 7      0.359 | lividus                        | Сегодня они проснулись не в себе
 8      0.291 | В облаках пушистых лапки       | Город на цепи
 9      0.211 | BlaadwinDufo                   | Девочка и Королева
10      0.188 | DarkKnight                     | Радужный Рыцарь
11      0.182 | Reальный пониSkuльптор         | Брони скульптор реальности
12      0.151 | Alex Unknown                   | Хроники одного гвардейца
13      0.149 | Ksavir                         | Звёздные сети
14      0.145 | Romuald                        | Сказки небесного домика
15      0.143 | Dim                            | Сказка о новом Понивилле
16      0.139 | Золотой камень                 | Одна под безмолвным небом
17      0.122 | Техноягуар                     | Фоллаут Эквестрия Лунные Тени
18      0.121 | Золотой камень                 | Сборник омегаверс драбблов
19       0.12 | T 80U                          | Эквестрия 84
20      0.119 | Faktor93                       | Chronicles Postapocalypse Equestria
# ----------------------------------------------------------------------------
#  18 / 215 Skazka_o_novom_Poniville.fb2
# ----------------------------------------------------------------------------
 1     37.007 | Dim                            | Сказка о новом Понивилле
 2      1.743 | RusStarik                      | Добро пожаловать и до свидания
 3      1.108 | Dim                            | Сказка о славном городе Троттингем
 4        0.9 | Dim                            | Сказка о том как умирают города государства
 5      0.888 | Dim                            | Сказка о павших божествах
 6      0.883 | Dim                            | Сказка о пути к Истине
 7      0.475 | Dim                            | Planescape сказка о леди и рыцаре
 8      0.432 | Dim                            | Planescape сказка о Бестолочи
 9      0.373 | Dim                            | Planescape сказка о приключенцах
10      0.352 | Krelkin                        | Кандран
11      0.327 | Orc01                          | Спроси пустыню
12       0.32 | T 80U                          | Эквестрия 84
13      0.286 | Powerful Darkness              | Кровь Пар Сталь
14      0.284 | Dim                            | Planescape сказка о тернистом пути на вершину
15      0.284 | Чайн                           | Fallout Equestria Один на миллион Вот идёт грифон
16      0.272 | Dim                            | Planescape сказка о планарном отпуске
17      0.251 | Dim                            | Сказка о Последнем Походе
18      0.248 | r4zorl1cht                     | Безотцовщина
19      0.236 | TopT                           | Понь бледный
20      0.226 | DarkKnight                     | Солнце в рюкзаке
# ----------------------------------------------------------------------------
#  19 / 215 Voyna_trekh_znamen.fb2
# ----------------------------------------------------------------------------
 1     57.704 | Дарий                          | Война трех знамен
 2      0.317 | Дарий                          | Власть одного
 3       0.31 | Valdemar                       | Закон Эквестрии Союз Пяти Фигур
 4      0.196 | Gedzerath                      | Стальные крылья рождение Легиона
 5      0.194 | Dim                            | Planescape сказка о Бестолочи
 6      0.184 | Дрэкэнг_В_В                    | Обман
 7      0.145 | Archi                          | Hollow Shades
 8      0.144 | VIM                            | Влекомые роком
 9      0.141 | Artes Septim                   | Брешь миров
10      0.133 | Dim                            | Сказка о том как умирают города государства
11      0.129 | Disen                          | Время любви
12      0.119 | Хризолит                       | Эпоха полночных кошмаров
13      0.117 | niklaykin                      | Извилистый путь
14      0.109 | Лесси Форест                   | Хроники Роя
15      0.101 | Dim                            | Planescape сказка о планарном отпуске
# ----------------------------------------------------------------------------
#  20 / 215 Temnaya_i_Belaya_zhizn_Probuzhdenie_sily.fb2
# ----------------------------------------------------------------------------
 1     52.415 | sasha4                         | Темная и Белая жизнь Пробуждение силы
 2      1.868 | sasha4                         | Темная и Белая жизнь
 3      0.438 | DarkKnight                     | Город Тысячи Мостов
 4      0.249 | Miku                           | Иная Эквестрия Чёрное и белое
 5       0.24 | Valdemar                       | Закон Эквестрии Союз Пяти Фигур
 6      0.231 | Лоренциано                     | Необычное Задание или BlackWood не трогай пони
 7      0.214 | Дарий                          | Война трех знамен
 8      0.207 | shadow478                      | Лицо под маской
 9      0.204 | Золотой камень                 | Сборник омегаверс драбблов
10      0.187 | Пчёланчик                      | Дикие
11      0.184 | KleVeR                         | Киберпони
12      0.183 | Золотой камень                 | Одна под безмолвным небом
13      0.179 | r4zorl1cht                     | Безотцовщина
14      0.174 | sasha4                         | Компас
15      0.169 | Ivan_Magregor                  | Апокалипсис рождение Императора
16      0.152 | VIM                            | Влекомые роком
17      0.145 | chelovekbeznika                | Чёрная метель
18      0.144 | Хеллфайр Файр                  | Fallout Equestria Виват Литтлпип
19      0.144 | devkv                          | Теория хаоса
20      0.137 | Техноягуар                     | Фоллаут Эквестрия Лунные Тени
# ----------------------------------------------------------------------------
#  21 / 215 Ognennye_kryl_ya.fb2
# ----------------------------------------------------------------------------
 1     42.324 | Inok 9                         | Огненные крылья
 2      0.478 | Техноягуар                     | Фоллаут Эквестрия Лунные Тени
 3      0.403 | DarkKnight                     | Солнце в рюкзаке
 4      0.382 | deep                           | Полярная повесть
 5      0.361 | В облаках пушистых лапки       | Город на цепи
 6      0.298 | Bf109                          | Авиация Эквестрии
 7      0.264 | defklo                         | Fallout Equestria Frozen Shores
 8      0.243 | MaitreSerge                    | Окно в Эквестрию
 9      0.233 | Archi                          | Hollow Shades
10      0.216 | r4zorl1cht                     | Безотцовщина
11      0.183 | Shadowmere                     | Солдаты неба
12      0.179 | HardwareWitchman               | Семь дней в Коппервилле
13      0.177 | Dozornui                       | Траектория падения
14       0.17 | В облаках пушистых лапки       | Fallout Equestria Soldiers Of The Dark Ages
15      0.165 | Lotsel                         | Ми
16      0.163 | Хризолит                       | Эпоха полночных кошмаров
17      0.155 | Legion2709                     | Рождение спасительницы
18      0.153 | Valdemar                       | Закон Эквестрии
19      0.135 | Anonymous                      | Кольцо 3 Реинкарнация Анонимуса Рабочее название
20      0.131 | niklaykin                      | Извилистый путь
# ----------------------------------------------------------------------------
#  22 / 215 Fallout_Equestria_Teni_Anklava.fb2
# ----------------------------------------------------------------------------
 1     35.124 | lezvion                        | Fallout Equestria Тени Анклава
 2      0.766 | Dozornui                       | FO E Схватка в Разломе
 3      0.647 | Лесси Форест                   | Хроники Роя
 4      0.496 | Хеллфайр Файр                  | Fallout Equestria Виват Литтлпип
 5      0.491 | Mister Karter                  | Пересечение миров
 6      0.491 | В облаках пушистых лапки       | Fallout Equestria Soldiers Of The Dark Ages
 7      0.465 | В облаках пушистых лапки       | Город на цепи
 8      0.455 | dkarm                          | Торговый дом Зелёная миля
 9      0.444 | Captain                        | Fallout Большие Изменения
10      0.435 | LIZARMEN                       | АМК агентство магических катастроф
11      0.431 | Devilly                        | Fallout Equestria Снег и Ветер
12       0.42 | defklo                         | Fallout Equestria Frozen Shores
13      0.404 | ГневныйТаракан                 | Fallout Equestria Под светом солнца
14      0.374 | dzhaur                         | Гнет Судеб
15      0.374 | DarkKnight                     | Солнце в рюкзаке
16      0.359 | Powerful Darkness              | Кровь Пар Сталь
17      0.356 | Золотой камень                 | Одна под безмолвным небом
18      0.348 | Техноягуар                     | Фоллаут Эквестрия Лунные Тени
19      0.344 | Dozornui                       | Траектория падения
20      0.343 | Eriol                          | Властелин Колец Содружество это магия
# ----------------------------------------------------------------------------
#  23 / 215 Prekrasnyy_i_tleyshchiy_mir.fb2
# ----------------------------------------------------------------------------
 1     41.732 | LittleLit                      | Прекрасный и тлеющий мир
 2      0.598 | Золотой камень                 | Одна под безмолвным небом
 3      0.541 | nightdragone                   | Небольшая зарисовка из жизни Эквестрии
 4      0.501 | В облаках пушистых лапки       | Город на цепи
 5      0.467 | Legion2709                     | Ласковый дождь
 6      0.462 | Хеллфайр Файр                  | Fallout Equestria Виват Литтлпип
